names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
TYMP,2.851145,0.42089912,0.004356208722137196,0.01083409423122204,0.033022254127781765
IRF5,2.8440495,0.55747783,0.004454413990741876,0.011021230492557217,0.0318674115921221
NPHS2,2.7975233,0.45976076,0.005149605994538756,0.012675953217326168,0.03501981959486875
NRG3,2.7838478,0.1152648,0.005371825136082144,0.01315549012918076,0.03317831392989794
FOXN3,2.7386007,-0.1454443,0.006170126528720002,0.015033810831398991,0.049689440993788817
CYBB,2.7233107,1.2002585,0.00646312289716322,0.015668176720395686,0.024813508536471175
TENT5C,2.6590388,0.19133984,0.007836396709399862,0.018901861409607708,0.037079808982802206
CIITA,2.589222,0.24725251,0.009619307428840517,0.023086337829217242,0.032366802958893846
CHST11,2.5694995,1.3407165,0.010184555649304114,0.024254111821036897,0.02231655170261244
MMP9,2.5687387,1.2046391,0.01020693872468636,0.024254111821036897,0.022191703860919506
PECAM1,2.544247,1.40541,0.010951366624909198,0.02589485704412027,0.023533818159118574
SIPA1,2.5203242,0.4117408,0.01172467854881748,0.02758747893839407,0.029588938481226006
SLCO2A1,2.4550734,0.65365314,0.014085581066912479,0.03298087274203897,0.02531289990324292
CD93,2.4141667,1.1143678,0.015771247427885358,0.036748537696043554,0.02275351914853772
BMP7,2.3811557,-0.3390256,0.017258415732815852,0.04001951474276139,0.1562158619182871
FYB1,2.3134048,1.794918,0.02070039476265405,0.04777014175997089,0.018852024095633448
IGFBP6,2.2738426,1.4979174,0.022975458094328466,0.052766602321902695,0.02103686132525984
MRC1,2.2707617,1.7785317,0.023161408682828132,0.052940362703607156,0.019601111145791068
AQP2,2.263147,1.1514459,0.023626623795571493,0.05374776977191619,0.02156746465245482
CFTR,2.2234488,0.9688723,0.026185548781264643,0.05928803497644825,0.020475046037641623
FAP,2.1633282,1.7409799,0.03051595377548829,0.06876834653631164,0.01791566528293642
VSIG4,2.1531312,2.114222,0.031308356048039575,0.07022435001429438,0.01701051843066263
ITGAE,2.1356199,0.13005422,0.03271040242499799,0.07302787518139085,0.02843409594556634
EIF2AK3,2.11529,-0.48958138,0.034405254033030755,0.07645612007340168,0.0586160616748338
CCL20,2.1116579,0.5028327,0.03471580159892694,0.07679071321421627,0.02618683479509348
CD4,2.0271246,1.9470737,0.04264966406828367,0.09390751721456954,0.016948094509816162
C1QC,1.9788928,2.1858273,0.0478280727093502,0.10459643053078503,0.01566840413246356
FGF13,1.9778997,0.55463487,0.047940030659943136,0.10459643053078503,0.023471394238272106
ITGAX,1.9006914,1.1425694,0.057342441009542756,0.12398365623684919,0.01701051843066263
CXCL10,1.8924588,0.80205905,0.05842987704212822,0.1257683452027872,0.019788382908330474
ITGB2,1.8894128,1.4896405,0.058836542280470895,0.12607830488672334,0.01657355098473735
IL1RL1,1.885099,0.21182126,0.05941647316961851,0.12675514276185282,0.023658666000811512
FCER1G,1.882492,2.2284596,0.05976925090964113,0.12694354175499,0.015106588844845345
CFH,1.8783027,-0.13315827,0.06033976262412162,0.12759068748712943,0.5017010518430662
