names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PLXNB1,67.80513,1.6419775,0.0,0.0,0.34428263946791804
USP9Y,67.75981,10.634832,0.0,0.0,0.21861123499641272
SP100,67.10632,1.2826471,0.0,0.0,0.4080781834752089
SPATS2L,67.03037,1.2840693,0.0,0.0,0.43890946462158964
FAM189A1,66.71966,2.9012187,0.0,0.0,0.251633670085901
HNRNPH1,66.5479,1.1106253,0.0,0.0,0.48711485136995597
ZNF83,66.36518,1.094303,0.0,0.0,0.5404975664617712
RUFY3,66.20872,1.1210587,0.0,0.0,0.5053615404006128
ANKRD11,65.84749,1.001092,0.0,0.0,0.6035562622404065
HNF4G,65.50814,2.6126697,0.0,0.0,0.25527912974346045
WWC1,65.35894,1.0933584,0.0,0.0,0.5425529852048632
PPFIBP1,65.193085,1.0447148,0.0,0.0,0.5901184774388707
AF117829.1,65.13251,1.1655506,0.0,0.0,0.46256617091000757
CLDN10,64.98404,1.613821,0.0,0.0,0.3393961722673596
IQCJ-SCHIP1,64.93449,1.7235701,0.0,0.0,0.32227414632254564
FAT1,64.84289,1.1423463,0.0,0.0,0.4625079986814295
ZKSCAN1,64.68827,1.4211088,0.0,0.0,0.3481220065540711
GLIS1,64.61665,3.3098056,0.0,0.0,0.23315429214093192
PAX8,64.41413,0.96531475,0.0,0.0,0.6670221636190883
STOX2,64.300804,1.0558263,0.0,0.0,0.6128638188128988
ARGLU1,64.22744,0.9793604,0.0,0.0,0.6190106842993155
LINC02027,64.18612,3.9452715,0.0,0.0,0.22200461499680052
GNB1,63.782757,1.1286404,0.0,0.0,0.4398402202788389
TNS3,63.48342,1.0506883,0.0,0.0,0.5328770045180431
ITGA3,63.340317,2.2883973,0.0,0.0,0.2621628434585329
SLC8A1,63.296005,1.9458684,0.0,0.0,0.2933043764906634
RHPN2,63.275673,1.8078002,0.0,0.0,0.2901630761474472
AKAP12,62.6368,1.4890337,0.0,0.0,0.35768164278373504
SLC28A1,62.51266,2.358326,0.0,0.0,0.2570242966008028
PLEKHA1,62.44559,1.1985817,0.0,0.0,0.389928448158849
ITGB3,62.38588,2.7921379,0.0,0.0,0.23806015008434972
PVT1,62.366543,3.1258926,0.0,0.0,0.23049776036919975
SVIL,62.245426,1.1231768,0.0,0.0,0.44868239902270657
HMGN3,61.992348,1.5829985,0.0,0.0,0.3010800643772663
PHLDB1,61.940502,1.9361273,0.0,0.0,0.27523220414574084
PAH,61.718067,2.6457384,0.0,0.0,0.24345077659925152
SLC6A6,61.55637,3.0555038,0.0,0.0,0.2270268173973745
CDH2,61.49734,1.73995,0.0,0.0,0.2923348393476954
FIGN,61.42515,1.7894412,0.0,0.0,0.28758410734715245
PDE7A,61.366497,1.3820574,0.0,0.0,0.3419363595819356
SLIT2,61.317226,2.3333404,0.0,0.0,0.24880262162843458
SEPTIN9,61.125862,1.2442207,0.0,0.0,0.3696457311279595
EPHA7,60.997105,1.9614952,0.0,0.0,0.2751740319171627
TENM1,60.861732,1.8578324,0.0,0.0,0.26993853134513585
HKDC1,60.772125,2.7417207,0.0,0.0,0.23092435671210565
AC079781.5,60.683342,1.4311758,0.0,0.0,0.3154292140931919
DOCK8,60.629753,1.7995352,0.0,0.0,0.2861298016327006
CASTOR3,60.558235,2.299065,0.0,0.0,0.24376102848500125
RNF19A,60.51356,1.0860656,0.0,0.0,0.4237265129627116
PIGR,60.454643,4.1839104,0.0,0.0,0.20623994105214172
SDK1,60.31287,1.0687404,0.0,0.0,0.48538907525547303
TMEM51,60.30865,1.4652797,0.0,0.0,0.3155067770646294
PRRC2C,60.25083,0.90535176,0.0,0.0,0.6066006088693258
CALD1,60.236526,1.0891315,0.0,0.0,0.4398402202788389
CAPN12,60.028305,2.6227438,0.0,0.0,0.23156425122646448
SH3D19,60.026848,1.1537548,0.0,0.0,0.3915572705590351
RAD9A,60.026196,1.2174802,0.0,0.0,0.3547924220976906
C3,60.001415,5.507702,0.0,0.0,0.19844486242267942
SF3B1,59.986134,1.1336049,0.0,0.0,0.37627736518586025
SIPA1L3,59.96924,1.0136178,0.0,0.0,0.4780012022260573
FTCD,59.955467,2.4381301,0.0,0.0,0.24602974539954625
PDGFC,59.92115,1.2007195,0.0,0.0,0.37658761707161004
GULP1,59.905334,1.1523007,0.0,0.0,0.3971418045025305
CCDC30,59.79059,1.0526928,0.0,0.0,0.4381338349072153
CLIC4,59.77893,1.1851556,0.0,0.0,0.4062554536464292
RANBP17,59.749752,2.1627896,0.0,0.0,0.25000484768571485
NPAS2,59.42145,1.6079168,0.0,0.0,0.2922766671191173
VPS13A,59.381817,0.97131366,0.0,0.0,0.4847103992553955
DCBLD2,59.262527,1.6692575,0.0,0.0,0.2907641891760873
TSPAN18,59.2424,3.713086,0.0,0.0,0.20682166333792248
TRMT11,58.913647,1.0927808,0.0,0.0,0.39935234918849744
SLC25A37,58.8144,1.5588707,0.0,0.0,0.2907641891760873
ADGRG1,58.583076,1.8238432,0.0,0.0,0.2674371255162785
SLC22A2,58.568325,1.812544,0.0,0.0,0.2700936572880107
HP1BP3,58.563923,0.98494047,0.0,0.0,0.42554924279149137
FAM20C,58.541546,1.9079286,0.0,0.0,0.2612126970584243
